Numero pedido;nit_proveedor;nombre_proveedor;Categoria;Producto
PED-4476;NIT0000000056;Burger King;Consultor韆;
PED-4477;NIT0000000057;KFC;Consultor韆;
PED-4478;NIT0000000058;Capgemini;Servicios;
PED-4479;NIT0000000059;Amazon;Tecnologia;
PED-4480;NIT0000000060;Tostao;Consultor韆;
PED-4481;NIT0000000061;McDonald's;Consultor韆;
PED-4482;NIT0000000062;Bain;Servicios;
PED-4483;NIT0000000063;Procter & Gamble;Alimentaci髇;
PED-4484;NIT0000000064;Securitas;Servicios P鷅licos;
PED-4485;NIT0000000065;Crepes & Waffles;Consultor韆;
PED-4486;NIT0000000066;SAP;Tecnologia;
PED-4487;NIT0000000067;Mitie;Servicios P鷅licos;
PED-4488;NIT0000000068;EY;Servicios;
PED-4489;NIT0000000069;BCG;Servicios;
PED-4490;NIT0000000070;Google;Tecnologia;
PED-4491;NIT0000000001;ABM;Servicios P鷅licos;
PED-4492;NIT0000000002;Subway;Consultor韆;
PED-4493;NIT0000000003;Sodexo;Servicios P鷅licos;
PED-4494;NIT0000000004;Asesorias Financieras;Consultor韆;
PED-4495;NIT0000000005;ISS;Servicios P鷅licos;
PED-4496;NIT0000000006;Rentokil;Servicios P鷅licos;
PED-4497;NIT0000000007;Consultores de Negocios;Consultor韆;
PED-4498;NIT0000000008;IBM;Tecnologia;
PED-4499;NIT0000000009;Oma;Consultor韆;
PED-4500;NIT0000000010;Deloitte;Servicios;
PED-4501;NIT0000000011;Apple;Tecnologia;
PED-4502;NIT0000000012;Intel;Tecnologia;
PED-4503;NIT0000000013;General Mills;Alimentaci髇;
PED-4504;NIT0000000014;Unilever;Alimentaci髇;
PED-4505;NIT0000000015;Dunkin Donuts;Consultor韆;
PED-4506;NIT0000000016;Transformaci贸n Digital;Consultor韆;
PED-4507;NIT0000000017;Aramark;Servicios P鷅licos;
PED-4508;NIT0000000018;E.ON;Energ韆;
PED-4509;NIT0000000019;Innovaci贸n y Desarrollo;Consultor韆;
PED-4510;NIT0000000020;Iberdrola;Energ韆;
PED-4511;NIT0000000021;Engie;Energ韆;
PED-4512;NIT0000000022;Estrategias Empresariales;Consultor韆;
PED-4513;NIT0000000023;TCS;Servicios;
PED-4514;NIT0000000024;PepsiCo;Alimentaci髇;
PED-4515;NIT0000000025;PwC;Servicios;
PED-4516;NIT0000000026;Gesti贸n de Proyectos;Consultor韆;
PED-4517;NIT0000000027;Duke Energy;Energ韆;
PED-4518;NIT0000000028;McKinsey;Servicios;
PED-4519;NIT0000000029;Danone;Alimentaci髇;
PED-4520;NIT0000000030;Facebook;Tecnologia;
PED-4521;NIT0000000031;Microsoft;Tecnologia;
PED-4522;NIT0000000032;Enel;Energ韆;
PED-4523;NIT0000000033;Coca-Cola;Alimentaci髇;
PED-4524;NIT0000000034;Optimizaci贸n de Procesos;Consultor韆;
PED-4525;NIT0000000035;Kellogg;Alimentaci髇;
PED-4526;NIT0000000036;Southern Company;Energ韆;
PED-4527;NIT0000000037;Kraft Heinz;Alimentaci髇;
PED-4528;NIT0000000038;G4S;Servicios P鷅licos;
PED-4529;NIT0000000039;Consultorias Contables;Consultor韆;
PED-4530;NIT0000000040;RWE;Energ韆;
PED-4531;NIT0000000041;Juan Valdez;Consultor韆;
PED-4532;NIT0000000042;Compass Group;Servicios P鷅licos;
PED-4533;NIT0000000043;Serco;Servicios P鷅licos;
PED-4534;NIT0000000044;Soluciones IT;Consultor韆;
PED-4535;NIT0000000045;NextEra Energy;Energ韆;
PED-4536;NIT0000000046;Exelon;Energ韆;
PED-4537;NIT0000000047;EDF;Energ韆;
PED-4538;NIT0000000048;Oracle;Tecnologia;
PED-4539;NIT0000000049;Starbucks;Consultor韆;
PED-4540;NIT0000000050;Accenture;Servicios;
PED-4541;NIT0000000051;Mondelez;Alimentaci髇;
PED-4542;NIT0000000052;KPMG;Servicios;
PED-4543;NIT0000000053;Cisco;Tecnologia;
PED-4544;NIT0000000054;Nestle;Alimentaci髇;
PED-4545;NIT0000000055;Servicios Jur铆dicos;Consultor韆;
PED-4546;NIT0000000056;Burger King;Consultor韆;
PED-4547;NIT0000000057;KFC;Consultor韆;
PED-4548;NIT0000000058;Capgemini;Servicios;
PED-4549;NIT0000000059;Amazon;Tecnologia;
PED-4550;NIT0000000060;Tostao;Consultor韆;
PED-4551;NIT0000000061;McDonald's;Consultor韆;
PED-4552;NIT0000000062;Bain;Servicios;
PED-4553;NIT0000000063;Procter & Gamble;Alimentaci髇;
PED-4554;NIT0000000064;Securitas;Servicios P鷅licos;
PED-4555;NIT0000000065;Crepes & Waffles;Consultor韆;
PED-4556;NIT0000000066;SAP;Tecnologia;
PED-4557;NIT0000000067;Mitie;Servicios P鷅licos;
PED-4558;NIT0000000068;EY;Servicios;
PED-4559;NIT0000000069;BCG;Servicios;
PED-4560;NIT0000000070;Google;Tecnologia;
PED-4561;NIT0000000001;ABM;Servicios P鷅licos;
PED-4562;NIT0000000002;Subway;Consultor韆;
PED-4563;NIT0000000003;Sodexo;Servicios P鷅licos;
PED-4564;NIT0000000004;Asesorias Financieras;Consultor韆;
PED-4565;NIT0000000005;ISS;Servicios P鷅licos;
PED-4566;NIT0000000006;Rentokil;Servicios P鷅licos;
PED-4567;NIT0000000007;Consultores de Negocios;Consultor韆;
PED-4568;NIT0000000008;IBM;Tecnologia;
PED-4569;NIT0000000009;Oma;Consultor韆;
PED-4570;NIT0000000010;Deloitte;Servicios;
PED-4571;NIT0000000011;Apple;Tecnologia;
PED-4572;NIT0000000012;Intel;Tecnologia;
PED-4573;NIT0000000013;General Mills;Alimentaci髇;
PED-4574;NIT0000000014;Unilever;Alimentaci髇;
PED-4575;NIT0000000015;Dunkin Donuts;Consultor韆;
PED-4576;NIT0000000016;Transformaci贸n Digital;Consultor韆;
PED-4577;NIT0000000017;Aramark;Servicios P鷅licos;
PED-4578;NIT0000000018;E.ON;Energ韆;
PED-4579;NIT0000000019;Innovaci贸n y Desarrollo;Consultor韆;
PED-4580;NIT0000000020;Iberdrola;Energ韆;
PED-4581;NIT0000000021;Engie;Energ韆;
PED-4582;NIT0000000022;Estrategias Empresariales;Consultor韆;
PED-4583;NIT0000000023;TCS;Servicios;
PED-4584;NIT0000000024;PepsiCo;Alimentaci髇;
PED-4586;NIT0000000026;Gesti贸n de Proyectos;Consultor韆;
PED-4587;NIT0000000027;Duke Energy;Energ韆;
PED-4588;NIT0000000028;McKinsey;Servicios;
PED-4589;NIT0000000029;Danone;Alimentaci髇;
PED-4590;NIT0000000030;Facebook;Tecnologia;
PED-4591;NIT0000000031;Microsoft;Tecnologia;
PED-4592;NIT0000000032;Enel;Energ韆;
PED-4593;NIT0000000033;Coca-Cola;Alimentaci髇;
PED-4594;NIT0000000034;Optimizaci贸n de Procesos;Consultor韆;
PED-4595;NIT0000000035;Kellogg;Alimentaci髇;
PED-4596;NIT0000000036;Southern Company;Energ韆;
PED-4597;NIT0000000037;Kraft Heinz;Alimentaci髇;
PED-4598;NIT0000000038;G4S;Servicios P鷅licos;
PED-4599;NIT0000000039;Consultorias Contables;Consultor韆;
PED-4600;NIT0000000040;RWE;Energ韆;
PED-4601;NIT0000000041;Juan Valdez;Consultor韆;
PED-4602;NIT0000000042;Compass Group;Servicios P鷅licos;
PED-4603;NIT0000000043;Serco;Servicios P鷅licos;
PED-4604;NIT0000000044;Soluciones IT;Consultor韆;
PED-4605;NIT0000000045;NextEra Energy;Energ韆;
PED-4606;NIT0000000046;Exelon;Energ韆;
PED-4607;NIT0000000047;EDF;Energ韆;
PED-4608;NIT0000000048;Oracle;Tecnologia;
PED-4609;NIT0000000049;Starbucks;Consultor韆;
PED-4610;NIT0000000050;Accenture;Servicios;
PED-4611;NIT0000000051;Mondelez;Alimentaci髇;
PED-4612;NIT0000000052;KPMG;Servicios;
PED-4613;NIT0000000053;Cisco;Tecnologia;
PED-4614;NIT0000000054;Nestle;Alimentaci髇;
PED-4615;NIT0000000055;Servicios Jur铆dicos;Consultor韆;
PED-4616;NIT0000000056;Burger King;Consultor韆;
PED-4617;NIT0000000057;KFC;Consultor韆;
PED-4618;NIT0000000058;Capgemini;Servicios;
PED-4619;NIT0000000059;Amazon;Tecnologia;
PED-4620;NIT0000000060;Tostao;Consultor韆;
PED-4621;NIT0000000061;McDonald's;Consultor韆;
PED-4622;NIT0000000062;Bain;Servicios;
PED-4623;NIT0000000063;Procter & Gamble;Alimentaci髇;
PED-4624;NIT0000000064;Securitas;Servicios P鷅licos;
PED-4625;NIT0000000065;Crepes & Waffles;Consultor韆;
PED-4626;NIT0000000066;SAP;Tecnologia;
PED-4627;NIT0000000067;Mitie;Servicios P鷅licos;
PED-4628;NIT0000000068;EY;Servicios;
PED-4629;NIT0000000069;BCG;Servicios;
PED-4630;NIT0000000070;Google;Tecnologia;
PED-4631;NIT0000000001;ABM;Servicios P鷅licos;
PED-4632;NIT0000000002;Subway;Consultor韆;
PED-4633;NIT0000000003;Sodexo;Servicios P鷅licos;
PED-4634;NIT0000000004;Asesorias Financieras;Consultor韆;
PED-4635;NIT0000000005;ISS;Servicios P鷅licos;
PED-4636;NIT0000000006;Rentokil;Servicios P鷅licos;
PED-4637;NIT0000000007;Consultores de Negocios;Consultor韆;
PED-4638;NIT0000000008;IBM;Tecnologia;
PED-4639;NIT0000000009;Oma;Consultor韆;
PED-4640;NIT0000000010;Deloitte;Servicios;
PED-4641;NIT0000000011;Apple;Tecnologia;
PED-4642;NIT0000000012;Intel;Tecnologia;
PED-4643;NIT0000000013;General Mills;Alimentaci髇;
PED-4644;NIT0000000014;Unilever;Alimentaci髇;
PED-4645;NIT0000000015;Dunkin Donuts;Consultor韆;
PED-4646;NIT0000000016;Transformaci贸n Digital;Consultor韆;
PED-4647;NIT0000000017;Aramark;Servicios P鷅licos;
PED-4648;NIT0000000018;E.ON;Energ韆;
PED-4649;NIT0000000019;Innovaci贸n y Desarrollo;Consultor韆;
PED-4650;NIT0000000020;Iberdrola;Energ韆;
PED-4651;NIT0000000021;Engie;Energ韆;
PED-4652;NIT0000000022;Estrategias Empresariales;Consultor韆;
PED-4653;NIT0000000023;TCS;Servicios;
PED-4654;NIT0000000024;PepsiCo;Alimentaci髇;
PED-4655;NIT0000000025;PwC;Servicios;
PED-4656;NIT0000000026;Gesti贸n de Proyectos;Consultor韆;
PED-4657;NIT0000000027;Duke Energy;Energ韆;
PED-4658;NIT0000000028;McKinsey;Servicios;
PED-4659;NIT0000000029;Danone;Alimentaci髇;
PED-4660;NIT0000000030;Facebook;Tecnologia;
PED-4661;NIT0000000031;Microsoft;Tecnologia;
PED-4662;NIT0000000032;Enel;Energ韆;
PED-4663;NIT0000000033;Coca-Cola;Alimentaci髇;
PED-4664;NIT0000000034;Optimizaci贸n de Procesos;Consultor韆;
PED-4665;NIT0000000035;Kellogg;Alimentaci髇;
PED-4666;NIT0000000036;Southern Company;Energ韆;
PED-4667;NIT0000000037;Kraft Heinz;Alimentaci髇;
PED-4668;NIT0000000038;G4S;Servicios P鷅licos;
PED-4669;NIT0000000039;Consultorias Contables;Consultor韆;
PED-4670;NIT0000000040;RWE;Energ韆;
PED-4671;NIT0000000041;Juan Valdez;Consultor韆;
PED-4672;NIT0000000042;Compass Group;Servicios P鷅licos;
PED-4673;NIT0000000043;Serco;Servicios P鷅licos;
PED-4674;NIT0000000044;Soluciones IT;Consultor韆;
PED-4675;NIT0000000045;NextEra Energy;Energ韆;
PED-4676;NIT0000000046;Exelon;Energ韆;
PED-4677;NIT0000000047;EDF;Energ韆;
PED-4678;NIT0000000048;Oracle;Tecnologia;
PED-4679;NIT0000000049;Starbucks;Consultor韆;
PED-4680;NIT0000000050;Accenture;Servicios;
PED-4681;NIT0000000051;Mondelez;Alimentaci髇;
PED-4682;NIT0000000052;KPMG;Servicios;
PED-4683;NIT0000000053;Cisco;Tecnologia;
PED-4684;NIT0000000054;Nestle;Alimentaci髇;
PED-4685;NIT0000000055;Servicios Jur铆dicos;Consultor韆;
PED-4686;NIT0000000056;Burger King;Consultor韆;
PED-4687;NIT0000000057;KFC;Consultor韆;
PED-4688;NIT0000000058;Capgemini;Servicios;
PED-4689;NIT0000000059;Amazon;Tecnologia;
PED-4690;NIT0000000060;Tostao;Consultor韆;
PED-4691;NIT0000000061;McDonald's;Consultor韆;
PED-4692;NIT0000000062;Bain;Servicios;
PED-4693;NIT0000000063;Procter & Gamble;Alimentaci髇;
PED-4694;NIT0000000064;Securitas;Servicios P鷅licos;
PED-4695;NIT0000000065;Crepes & Waffles;Consultor韆;
PED-4696;NIT0000000066;SAP;Tecnologia;
PED-4697;NIT0000000067;Mitie;Servicios P鷅licos;
PED-4698;NIT0000000068;EY;Servicios;
PED-4699;NIT0000000069;BCG;Servicios;
PED-4700;NIT0000000070;Google;Tecnologia;
PED-4701;NIT0000000001;ABM;Servicios P鷅licos;
PED-4702;NIT0000000002;Subway;Consultor韆;
PED-4703;NIT0000000003;Sodexo;Servicios P鷅licos;
PED-4704;NIT0000000004;Asesorias Financieras;Consultor韆;
PED-4705;NIT0000000005;ISS;Servicios P鷅licos;
PED-4706;NIT0000000006;Rentokil;Servicios P鷅licos;
PED-4707;NIT0000000007;Consultores de Negocios;Consultor韆;
PED-4708;NIT0000000008;IBM;Tecnologia;
PED-4709;NIT0000000009;Oma;Consultor韆;
PED-4710;NIT0000000010;Deloitte;Servicios;
PED-4711;NIT0000000011;Apple;Tecnologia;
PED-4712;NIT0000000012;Intel;Tecnologia;
PED-4713;NIT0000000013;General Mills;Alimentaci髇;
PED-4714;NIT0000000014;Unilever;Alimentaci髇;
PED-4715;NIT0000000015;Dunkin Donuts;Consultor韆;
PED-4716;NIT0000000016;Transformaci贸n Digital;Consultor韆;
PED-4717;NIT0000000017;Aramark;Servicios P鷅licos;
PED-4718;NIT0000000018;E.ON;Energ韆;
PED-4719;NIT0000000019;Innovaci贸n y Desarrollo;Consultor韆;
PED-4720;NIT0000000020;Iberdrola;Energ韆;
PED-4721;NIT0000000021;Engie;Energ韆;
PED-4722;NIT0000000022;Estrategias Empresariales;Consultor韆;
PED-4723;NIT0000000023;TCS;Servicios;
PED-4724;NIT0000000024;PepsiCo;Alimentaci髇;
PED-4725;NIT0000000025;PwC;Servicios;
PED-4726;NIT0000000026;Gesti贸n de Proyectos;Consultor韆;
PED-4727;NIT0000000027;Duke Energy;Energ韆;
PED-4728;NIT0000000028;McKinsey;Servicios;
PED-4729;NIT0000000029;Danone;Alimentaci髇;
PED-4730;NIT0000000030;Facebook;Tecnologia;
PED-4731;NIT0000000031;Microsoft;Tecnologia;
PED-4732;NIT0000000032;Enel;Energ韆;
PED-4733;NIT0000000033;Coca-Cola;Alimentaci髇;
PED-4734;NIT0000000034;Optimizaci贸n de Procesos;Consultor韆;
PED-4735;NIT0000000035;Kellogg;Alimentaci髇;
PED-4736;NIT0000000036;Southern Company;Energ韆;
PED-4737;NIT0000000037;Kraft Heinz;Alimentaci髇;
PED-4738;NIT0000000038;G4S;Servicios P鷅licos;
PED-4739;NIT0000000039;Consultorias Contables;Consultor韆;
PED-4740;NIT0000000040;RWE;Energ韆;
PED-4741;NIT0000000041;Juan Valdez;Consultor韆;
PED-4742;NIT0000000042;Compass Group;Servicios P鷅licos;
PED-4743;NIT0000000043;Serco;Servicios P鷅licos;
PED-4744;NIT0000000044;Soluciones IT;Consultor韆;
PED-4745;NIT0000000045;NextEra Energy;Energ韆;
PED-4746;NIT0000000046;Exelon;Energ韆;
PED-4747;NIT0000000047;EDF;Energ韆;
PED-4748;NIT0000000048;Oracle;Tecnologia;
PED-4749;NIT0000000049;Starbucks;Consultor韆;
PED-4750;NIT0000000050;Accenture;Servicios;
PED-4751;NIT0000000051;Mondelez;Alimentaci髇;
PED-4752;NIT0000000052;KPMG;Servicios;
PED-4753;NIT0000000053;Cisco;Tecnologia;
PED-4754;NIT0000000054;Nestle;Alimentaci髇;
PED-4755;NIT0000000055;Servicios Jur铆dicos;Consultor韆;
PED-4756;NIT0000000056;Burger King;Consultor韆;
PED-4757;NIT0000000057;KFC;Consultor韆;
PED-4758;NIT0000000058;Capgemini;Servicios;
PED-4759;NIT0000000059;Amazon;Tecnologia;
PED-4760;NIT0000000060;Tostao;Consultor韆;
PED-4761;NIT0000000061;McDonald's;Consultor韆;
PED-4762;NIT0000000062;Bain;Servicios;
PED-4763;NIT0000000063;Procter & Gamble;Alimentaci髇;
PED-4764;NIT0000000064;Securitas;Servicios P鷅licos;
PED-4765;NIT0000000065;Crepes & Waffles;Consultor韆;
PED-4766;NIT0000000066;SAP;Tecnologia;
PED-4767;NIT0000000067;Mitie;Servicios P鷅licos;
PED-4768;NIT0000000068;EY;Servicios;
PED-4769;NIT0000000069;BCG;Servicios;
PED-4770;NIT0000000070;Google;Tecnologia;
PED-4771;NIT0000000001;ABM;Servicios P鷅licos;
PED-4772;NIT0000000002;Subway;Consultor韆;
PED-4773;NIT0000000003;Sodexo;Servicios P鷅licos;
PED-4774;NIT0000000004;Asesorias Financieras;Consultor韆;
PED-4775;NIT0000000005;ISS;Servicios P鷅licos;
PED-4776;NIT0000000006;Rentokil;Servicios P鷅licos;
PED-4777;NIT0000000007;Consultores de Negocios;Consultor韆;
PED-4778;NIT0000000008;IBM;Tecnologia;
PED-4779;NIT0000000009;Oma;Consultor韆;
PED-4780;NIT0000000010;Deloitte;Servicios;
PED-4781;NIT0000000011;Apple;Tecnologia;
PED-4782;NIT0000000012;Intel;Tecnologia;
PED-4783;NIT0000000013;General Mills;Alimentaci髇;
PED-4784;NIT0000000014;Unilever;Alimentaci髇;
PED-4785;NIT0000000015;Dunkin Donuts;Consultor韆;
PED-4786;NIT0000000016;Transformaci贸n Digital;Consultor韆;
PED-4787;NIT0000000017;Aramark;Servicios P鷅licos;
PED-4788;NIT0000000018;E.ON;Energ韆;
PED-4789;NIT0000000019;Innovaci贸n y Desarrollo;Consultor韆;
PED-4790;NIT0000000020;Iberdrola;Energ韆;
PED-4791;NIT0000000021;Engie;Energ韆;
PED-4792;NIT0000000022;Estrategias Empresariales;Consultor韆;
PED-4793;NIT0000000023;TCS;Servicios;
PED-4794;NIT0000000024;PepsiCo;Alimentaci髇;
PED-4795;NIT0000000025;PwC;Servicios;
PED-4796;NIT0000000026;Gesti贸n de Proyectos;Consultor韆;
PED-4797;NIT0000000027;Duke Energy;Energ韆;
PED-4798;NIT0000000028;McKinsey;Servicios;
PED-4799;NIT0000000029;Danone;Alimentaci髇;
PED-4800;NIT0000000030;Facebook;Tecnologia;
PED-4801;NIT0000000031;Microsoft;Tecnologia;
PED-4802;NIT0000000032;Enel;Energ韆;
PED-4803;NIT0000000033;Coca-Cola;Alimentaci髇;
PED-4804;NIT0000000034;Optimizaci贸n de Procesos;Consultor韆;
PED-4805;NIT0000000035;Kellogg;Alimentaci髇;
PED-4806;NIT0000000036;Southern Company;Energ韆;
PED-4807;NIT0000000037;Kraft Heinz;Alimentaci髇;
PED-4808;NIT0000000038;G4S;Servicios P鷅licos;
PED-4809;NIT0000000039;Consultorias Contables;Consultor韆;
PED-4810;NIT0000000040;RWE;Energ韆;
PED-4811;NIT0000000041;Juan Valdez;Consultor韆;
PED-4812;NIT0000000042;Compass Group;Servicios P鷅licos;
PED-4813;NIT0000000043;Serco;Servicios P鷅licos;
PED-4814;NIT0000000044;Soluciones IT;Consultor韆;
PED-4815;NIT0000000045;NextEra Energy;Energ韆;
PED-4816;NIT0000000046;Exelon;Energ韆;
PED-4817;NIT0000000047;EDF;Energ韆;
PED-4818;NIT0000000048;Oracle;Tecnologia;
PED-4819;NIT0000000049;Starbucks;Consultor韆;
PED-4820;NIT0000000050;Accenture;Servicios;
PED-4821;NIT0000000051;Mondelez;Alimentaci髇;
PED-4822;NIT0000000052;KPMG;Servicios;
PED-4823;NIT0000000053;Cisco;Tecnologia;
PED-4824;NIT0000000054;Nestle;Alimentaci髇;
PED-4825;NIT0000000055;Servicios Jur铆dicos;Consultor韆;
PED-4826;NIT0000000056;Burger King;Consultor韆;
PED-4827;NIT0000000057;KFC;Consultor韆;
PED-4828;NIT0000000058;Capgemini;Servicios;
PED-4829;NIT0000000059;Amazon;Tecnologia;
PED-4830;NIT0000000060;Tostao;Consultor韆;
PED-4831;NIT0000000061;McDonald's;Consultor韆;
PED-4832;NIT0000000062;Bain;Servicios;
PED-4833;NIT0000000063;Procter & Gamble;Alimentaci髇;
PED-4834;NIT0000000064;Securitas;Servicios P鷅licos;
PED-4835;NIT0000000065;Crepes & Waffles;Consultor韆;
PED-4836;NIT0000000066;SAP;Tecnologia;
PED-4837;NIT0000000067;Mitie;Servicios P鷅licos;
PED-4838;NIT0000000068;EY;Servicios;
PED-4839;NIT0000000069;BCG;Servicios;
PED-4840;NIT0000000070;Google;Tecnologia;
PED-4841;NIT0000000001;ABM;Servicios P鷅licos;
PED-4842;NIT0000000002;Subway;Consultor韆;
PED-4843;NIT0000000003;Sodexo;Servicios P鷅licos;
PED-4844;NIT0000000004;Asesorias Financieras;Consultor韆;
PED-4845;NIT0000000005;ISS;Servicios P鷅licos;
PED-4846;NIT0000000006;Rentokil;Servicios P鷅licos;
PED-4847;NIT0000000007;Consultores de Negocios;Consultor韆;
PED-4848;NIT0000000008;IBM;Tecnologia;
PED-4849;NIT0000000009;Oma;Consultor韆;
PED-4850;NIT0000000010;Deloitte;Servicios;
PED-4851;NIT0000000011;Apple;Tecnologia;
PED-4852;NIT0000000012;Intel;Tecnologia;
PED-4853;NIT0000000013;General Mills;Alimentaci髇;
PED-4854;NIT0000000014;Unilever;Alimentaci髇;
PED-4855;NIT0000000015;Dunkin Donuts;Consultor韆;
PED-4856;NIT0000000016;Transformaci贸n Digital;Consultor韆;
PED-4857;NIT0000000017;Aramark;Servicios P鷅licos;
PED-4858;NIT0000000018;E.ON;Energ韆;
PED-4859;NIT0000000019;Innovaci贸n y Desarrollo;Consultor韆;
PED-4860;NIT0000000020;Iberdrola;Energ韆;
PED-4861;NIT0000000021;Engie;Energ韆;
PED-4862;NIT0000000022;Estrategias Empresariales;Consultor韆;
PED-4863;NIT0000000023;TCS;Servicios;
PED-4864;NIT0000000024;PepsiCo;Alimentaci髇;
PED-4865;NIT0000000025;PwC;Servicios;
PED-4866;NIT0000000026;Gesti贸n de Proyectos;Consultor韆;
PED-4867;NIT0000000027;Duke Energy;Energ韆;
PED-4868;NIT0000000028;McKinsey;Servicios;
PED-4869;NIT0000000029;Danone;Alimentaci髇;
PED-4870;NIT0000000030;Facebook;Tecnologia;
PED-4871;NIT0000000031;Microsoft;Tecnologia;
PED-4872;NIT0000000032;Enel;Energ韆;
PED-4873;NIT0000000033;Coca-Cola;Alimentaci髇;
PED-4874;NIT0000000034;Optimizaci贸n de Procesos;Consultor韆;
PED-4875;NIT0000000035;Kellogg;Alimentaci髇;
PED-4876;NIT0000000036;Southern Company;Energ韆;
PED-4877;NIT0000000037;Kraft Heinz;Alimentaci髇;
PED-4878;NIT0000000038;G4S;Servicios P鷅licos;
PED-4879;NIT0000000039;Consultorias Contables;Consultor韆;
PED-4880;NIT0000000040;RWE;Energ韆;
PED-4881;NIT0000000041;Juan Valdez;Consultor韆;
PED-4882;NIT0000000042;Compass Group;Servicios P鷅licos;
PED-4883;NIT0000000043;Serco;Servicios P鷅licos;
PED-4884;NIT0000000044;Soluciones IT;Consultor韆;
PED-4885;NIT0000000045;NextEra Energy;Energ韆;
PED-4886;NIT0000000046;Exelon;Energ韆;
PED-4887;NIT0000000047;EDF;Energ韆;
PED-4888;NIT0000000048;Oracle;Tecnologia;
PED-4889;NIT0000000049;Starbucks;Consultor韆;
PED-4890;NIT0000000050;Accenture;Servicios;
PED-4891;NIT0000000051;Mondelez;Alimentaci髇;
PED-4892;NIT0000000052;KPMG;Servicios;
PED-4893;NIT0000000053;Cisco;Tecnologia;
PED-4894;NIT0000000054;Nestle;Alimentaci髇;
PED-4895;NIT0000000055;Servicios Jur铆dicos;Consultor韆;
PED-4896;NIT0000000056;Burger King;Consultor韆;
PED-4897;NIT0000000057;KFC;Consultor韆;
PED-4898;NIT0000000058;Capgemini;Servicios;
PED-4899;NIT0000000059;Amazon;Tecnologia;
PED-4900;NIT0000000060;Tostao;Consultor韆;
PED-4901;NIT0000000061;McDonald's;Consultor韆;
PED-4902;NIT0000000062;Bain;Servicios;
PED-4903;NIT0000000063;Procter & Gamble;Alimentaci髇;
PED-4904;NIT0000000064;Securitas;Servicios P鷅licos;
PED-4905;NIT0000000065;Crepes & Waffles;Consultor韆;
PED-4906;NIT0000000066;SAP;Tecnologia;
PED-4907;NIT0000000067;Mitie;Servicios P鷅licos;
PED-4908;NIT0000000068;EY;Servicios;
PED-4909;NIT0000000069;BCG;Servicios;
PED-4910;NIT0000000070;Google;Tecnologia;
PED-4911;NIT0000000001;ABM;Servicios P鷅licos;
PED-4912;NIT0000000002;Subway;Consultor韆;
PED-4913;NIT0000000003;Sodexo;Servicios P鷅licos;
PED-4914;NIT0000000004;Asesorias Financieras;Consultor韆;
PED-4915;NIT0000000005;ISS;Servicios P鷅licos;
PED-4916;NIT0000000006;Rentokil;Servicios P鷅licos;
PED-4917;NIT0000000007;Consultores de Negocios;Consultor韆;
PED-4918;NIT0000000008;IBM;Tecnologia;
PED-4919;NIT0000000009;Oma;Consultor韆;
PED-4920;NIT0000000010;Deloitte;Servicios;
PED-4921;NIT0000000011;Apple;Tecnologia;
PED-4922;NIT0000000012;Intel;Tecnologia;
PED-4923;NIT0000000013;General Mills;Alimentaci髇;
PED-4924;NIT0000000014;Unilever;Alimentaci髇;
PED-4925;NIT0000000015;Dunkin Donuts;Consultor韆;
PED-4926;NIT0000000016;Transformaci贸n Digital;Consultor韆;
PED-4927;NIT0000000017;Aramark;Servicios P鷅licos;
PED-4929;NIT0000000019;Innovaci贸n y Desarrollo;Consultor韆;
PED-4930;NIT0000000020;Iberdrola;Energ韆;
PED-4931;NIT0000000021;Engie;Energ韆;
PED-4932;NIT0000000022;Estrategias Empresariales;Consultor韆;
PED-4933;NIT0000000023;TCS;Servicios;
PED-4934;NIT0000000024;PepsiCo;Alimentaci髇;
PED-4935;NIT0000000025;PwC;Servicios;
PED-4936;NIT0000000026;Gesti贸n de Proyectos;Consultor韆;
PED-4937;NIT0000000027;Duke Energy;Energ韆;
PED-4938;NIT0000000028;McKinsey;Servicios;
PED-4939;NIT0000000029;Danone;Alimentaci髇;
PED-4940;NIT0000000030;Facebook;Tecnologia;
PED-4941;NIT0000000031;Microsoft;Tecnologia;
PED-4942;NIT0000000032;Enel;Energ韆;
PED-4943;NIT0000000033;Coca-Cola;Alimentaci髇;
PED-4944;NIT0000000034;Optimizaci贸n de Procesos;Consultor韆;
PED-4945;NIT0000000035;Kellogg;Alimentaci髇;
PED-4946;NIT0000000036;Southern Company;Energ韆;
PED-4947;NIT0000000037;Kraft Heinz;Alimentaci髇;
PED-4948;NIT0000000038;G4S;Servicios P鷅licos;
PED-4949;NIT0000000039;Consultorias Contables;Consultor韆;
PED-4950;NIT0000000040;RWE;Energ韆;
PED-4951;NIT0000000041;Juan Valdez;Consultor韆;
PED-4952;NIT0000000042;Compass Group;Servicios P鷅licos;
PED-4953;NIT0000000043;Serco;Servicios P鷅licos;
PED-4954;NIT0000000044;Soluciones IT;Consultor韆;
PED-4955;NIT0000000045;NextEra Energy;Energ韆;
PED-4956;NIT0000000046;Exelon;Energ韆;
PED-4957;NIT0000000047;EDF;Energ韆;
PED-4958;NIT0000000048;Oracle;Tecnologia;
PED-4959;NIT0000000049;Starbucks;Consultor韆;
PED-4960;NIT0000000050;Accenture;Servicios;
PED-4961;NIT0000000051;Mondelez;Alimentaci髇;
PED-4962;NIT0000000052;KPMG;Servicios;
PED-4963;NIT0000000053;Cisco;Tecnologia;
